customerID,gender,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0318-ZOPWS,Female,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMU,Male,Credit card (automatic),99.3,918.75,No
4808-YNLEU,Female,Bank transfer (automatic),62.15,2215.45,No
1862-QRWPE,Female,Bank transfer (automatic),20.65,1057,No
2796-NNUFI,Female,Mailed check,19.95,927.1,No
3016-KSVCP,Male,Mailed check,33.75,1009.25,No
4767-HZZHQ,Male,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Male,Electronic check,74.7,74.7,No
7233-PAHHL,Male,Mailed check,84.0,5714.25,No
6067-NGCEU,Female,Credit card (automatic),111.05,7107,No
9848-JQJTX,Male,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,Female,Electronic check,78.95,927.35,Yes
9803-FTJCG,Male,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,Male,Mailed check,21.05,113.85,Yes
3212-KXOCR,Male,Bank transfer (automatic),21.0,1107.2,No
4598-XLKNJ,Female,Electronic check,98.5,2514.5,Yes
6380-ARCEH,Male,Mailed check,20.2,20.2,No
3679-XASPY,Female,Electronic check,19.45,19.45,No
7123-WQUHX,Male,Bank transfer (automatic),95.0,3605.6,No
5386-THSLQ,Female,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,Male,Bank transfer (automatic),110.0,7611.85,Yes
6180-YBIQI,Male,Mailed check,24.3,100.2,No
6728-DKUCO,Female,Electronic check,104.15,7303.05,No
9750-BOOHV,Female,Mailed check,30.15,927.65,No
8597-CWYHH,Male,Mailed check,94.35,3921.3,No
2848-YXSMW,Male,Credit card (automatic),19.4,1363.25,No
0486-HECZI,Male,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,Female,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,Female,Electronic check,91.65,3954.1,No
4846-WHAFZ,Female,Electronic check,76.5,2868.15,Yes
5256-SKJGO,Female,Electronic check,54.6,3423.5,No
3071-VBYPO,Male,Electronic check,89.85,248.4,No
9560-BBZXK,Female,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,Female,Electronic check,100.25,1064.65,Yes
8402-OOOHJ,Female,Mailed check,20.65,835.15,No
9445-ZUEQE,Male,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,Female,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,Female,Mailed check,20.7,112.75,No
0404-SWRVG,Male,Electronic check,74.4,229.55,Yes
6497-TILVL,Female,Mailed check,50.7,350.35,No
7219-TLZHO,Female,Mailed check,20.85,62.9,No
4622-YNKIJ,Male,Electronic check,88.95,3027.65,No
4412-YLTKF,Female,Electronic check,78.05,2135.5,Yes
6734-PSBAW,Male,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,Male,Mailed check,19.75,19.75,No
2639-UGMAZ,Male,Electronic check,56.45,3985.35,No
2876-GZYZC,Female,Electronic check,85.95,1215.65,No
6207-WIOLX,Female,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,Male,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,Male,Electronic check,35.45,35.45,Yes
2372-HWUHI,Male,Electronic check,44.35,81.25,Yes
7799-LGRDP,Female,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,Female,Bank transfer (automatic),75.0,1778.5,No
3774-VBNXY,Female,Mailed check,20.2,1277.75,No
6217-KDYWC,Male,Mailed check,19.6,1170.55,No
0390-DCFDQ,Female,Mailed check,70.45,70.45,Yes
3146-MSEGF,Female,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,Female,Electronic check,71.15,563.65,Yes
1095-WGNGG,Female,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,Male,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,Male,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,Female,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,Male,Mailed check,19.6,61.35,No
2135-RXIHG,Male,Electronic check,45.65,45.65,Yes
6440-DKQGE,Male,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,Male,Mailed check,69.5,1071.4,No
3780-YVMFA,Female,Electronic check,68.55,564.35,No
3874-EQOEP,Male,Mailed check,95.0,655.5,Yes
1679-JRFBR,Female,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,Male,Electronic check,86.1,5215.25,No
3077-RSNTJ,Female,Mailed check,19.7,113.5,No
6551-GNYDG,Female,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,Female,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,Male,Mailed check,20.15,419.9,No
6371-NZYEG,Male,Mailed check,64.25,1024,No
7554-NEWDD,Male,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,Female,Electronic check,56.0,764.55,No
0867-MKZVY,Female,Electronic check,82.4,1592.35,Yes
4482-EWFMI,Female,Electronic check,69.7,135.2,No
4648-YPBTM,Male,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,Female,Mailed check,20.6,233.9,No
6345-FZOQH,Male,Mailed check,19.9,1363.45,No
3376-BMGFE,Female,Bank transfer (automatic),70.9,273,Yes
5997-OPVFA,Male,Bank transfer (automatic),89.05,6254.45,No
3445-HXXGF,Male,Electronic check,45.3,2651.2,Yes
1159-WFSGR,Female,Electronic check,20.4,321.4,No
7654-YWJUF,Male,Bank transfer (automatic),84.25,3539.25,No
1875-QIVME,Female,Electronic check,104.4,242.8,Yes
6727-IOTLZ,Male,Mailed check,81.95,1181.75,No
0691-JVSYA,Female,Bank transfer (automatic),94.85,5000.2,Yes
5918-VUKWP,Female,Bank transfer (automatic),20.55,654.55,No
1744-JHKYS,Female,Electronic check,24.7,780.2,No
2656-FMOKZ,Female,Mailed check,74.45,1145.7,Yes
2070-FNEXE,Female,Bank transfer (automatic),76.45,503.6,Yes
5947-SGKCL,Female,Bank transfer (automatic),105.35,1559.25,No
3712-PKXZA,Male,Credit card (automatic),20.55,1252,No
6317-YPKDH,Female,Bank transfer (automatic),29.95,29.95,Yes
6582-OIVSP,Female,Mailed check,45.3,45.3,No
9367-WXLCH,Male,Bank transfer (automatic),84.5,662.65,Yes
5524-KHNJP,Male,Credit card (automatic),74.75,2453.3,No
1918-ZBFQJ,Female,Electronic check,79.25,1111.65,Yes
1024-GUALD,Female,Electronic check,24.8,24.8,Yes
4827-USJHP,Male,Mailed check,51.8,1023.85,No
8167-GJLRN,Male,Electronic check,30.4,82.15,No
0956-SYCWG,Female,Electronic check,19.65,244.8,No
8017-UVSZU,Female,Credit card (automatic),56.6,2379.1,No
7100-FQPRV,Male,Credit card (automatic),71.9,3173.35,No
2472-OVKUP,Male,Electronic check,91.0,531,Yes
2984-RGEYA,Female,Bank transfer (automatic),19.75,1375.4,No
9680-NIAUV,Female,Credit card (automatic),109.7,8129.3,No
2146-EGVDT,Male,Credit card (automatic),19.3,1192.7,No
2604-IJPDU,Female,Electronic check,96.55,1901.65,No
9178-JHUVJ,Male,Bank transfer (automatic),24.1,587.4,No
6168-YBYNP,Male,Electronic check,111.35,6519.75,No
7255-SSFBC,Male,Bank transfer (automatic),112.25,8041.65,No
3645-DEYGF,Male,Mailed check,20.75,20.75,No
9323-HGFWY,Female,Credit card (automatic),101.9,2681.15,No
8544-GOQSH,Female,Credit card (automatic),80.05,1112.3,No
3363-DTIVD,Male,Electronic check,105.55,7405.5,No
7018-WBJNK,Male,Credit card (automatic),78.3,1033.95,No
9142-KZXOP,Male,Credit card (automatic),68.85,2958.95,No
7674-YTAFD,Female,Bank transfer (automatic),79.95,2684.85,No
6348-SNFUS,Male,Credit card (automatic),55.45,4179.2,No
1285-OKIPP,Male,Electronic check,79.9,79.9,Yes
7825-ECJRF,Female,Electronic check,106.6,1934.45,Yes
1347-KTTTA,Male,Credit card (automatic),102.45,6654.1,No
7841-TZDMQ,Male,Credit card (automatic),46.0,84.5,Yes
4195-NZGTA,Female,Electronic check,25.25,25.25,No
7157-SMCFK,Male,Mailed check,19.75,1124.2,No
4709-LKHYG,Female,Electronic check,20.0,540.05,No
2504-DSHIH,Male,Electronic check,86.8,1975.85,No
0699-NDKJM,Female,Bank transfer (automatic),58.75,3437.45,No
9286-BHDQG,Male,Credit card (automatic),45.25,3139.8,No
0230-WEQUW,Male,Bank transfer (automatic),56.6,3789.2,No
2040-LDIWQ,Male,Bank transfer (automatic),84.2,5324.5,No
6496-JDSSB,Female,Bank transfer (automatic),80.0,624.6,No
9408-SSNVZ,Female,Electronic check,70.15,268.35,Yes
4443-EMBNA,Female,Bank transfer (automatic),24.75,1836.9,No
6469-MRVET,Male,Electronic check,20.2,20.2,No
0742-MOABM,Male,Mailed check,50.05,179.35,Yes
5961-VUSRV,Female,Bank transfer (automatic),19.35,219.35,No
6778-JFCMK,Male,Mailed check,50.6,1288.75,No
6341-JVQGF,Female,Mailed check,81.15,2545.75,No
2232-DMLXU,Female,Mailed check,55.2,55.2,Yes
4811-JBUVU,Male,Credit card (automatic),89.9,2723.15,No
0945-TSONX,Female,Credit card (automatic),85.3,4107.25,No
2651-ZCBXV,Male,Credit card (automatic),108.0,5760.65,No
3316-UWXUY,Male,Credit card (automatic),93.5,4747.5,No
8937-RDTHP,Male,Mailed check,84.6,84.6,Yes
7083-MIOPC,Female,Credit card (automatic),20.25,1566.9,No
1984-GPTEH,Female,Electronic check,25.15,702,No
1251-KRREG,Male,Mailed check,54.4,114.1,Yes
0621-JFHOL,Female,Mailed check,29.6,299.05,No
9903-LYSAB,Male,Electronic check,73.15,1305.95,No
0094-OIFMO,Female,Electronic check,95.0,1120.3,Yes
9227-UAQFT,Male,Mailed check,19.75,284.35,No
7301-ABVAD,Female,Bank transfer (automatic),86.6,6350.5,No
6614-FHDBO,Male,Bank transfer (automatic),109.2,7878.3,No
7576-ASEJU,Female,Credit card (automatic),74.7,3187.65,No
9058-HRZSV,Female,Electronic check,94.4,6126.15,No
4522-AKYLR,Female,Electronic check,54.8,731.3,No
0221-WMXNQ,Male,Electronic check,75.35,273.4,No
0303-UNCIP,Male,Mailed check,65.0,2531.8,No
9947-OTFQU,Male,Electronic check,74.4,1074.3,Yes
0322-YINQP,Male,Mailed check,48.55,48.55,Yes
0959-WHOKV,Male,Electronic check,99.0,4298.45,No
4075-JFPGR,Female,Electronic check,93.5,4619.55,No
4629-NRXKX,Female,Electronic check,70.4,147.15,Yes
9514-JDSKI,Male,Electronic check,40.2,40.2,Yes
3282-ZISZV,Male,Credit card (automatic),83.7,2633.3,No
3675-YDUPJ,Male,Mailed check,19.85,193.05,No
4111-BNXIF,Female,Electronic check,59.55,4103.9,No
7017-VFHAY,Female,Credit card (automatic),115.1,7008.15,No
6655-LHBYW,Male,Credit card (automatic),114.35,5791.1,No
4959-JOSRX,Female,Credit card (automatic),44.6,80.55,Yes
5046-NUHWD,Female,Electronic check,45.0,1228.65,No
7273-TEFQD,Male,Electronic check,41.15,132.2,Yes
3606-TWKGI,Male,Electronic check,106.9,1364.3,Yes
7529-ZDFXI,Male,Electronic check,89.85,4925.35,No
7605-BDWDC,Female,Bank transfer (automatic),49.85,1520.1,No
1950-KSVVJ,Female,Mailed check,113.3,5032.25,No
0123-CRBRT,Female,Mailed check,88.1,5526.75,No
6292-TOSSS,Male,Bank transfer (automatic),24.9,1195.25,No
3197-ARFOY,Female,Mailed check,105.0,2007.25,No
6323-AYBRX,Male,Mailed check,19.35,1099.6,Yes
7014-ZZXAW,Female,Credit card (automatic),24.25,1732.95,No
4385-GZQXV,Female,Electronic check,94.45,1511.2,Yes
7633-MVPUY,Male,Electronic check,59.75,3450.15,No
6366-ZGQGL,Male,Bank transfer (automatic),24.8,24.8,Yes
4716-HHKQH,Male,Electronic check,107.05,2172.05,No
5940-AHUHD,Male,Mailed check,70.6,70.6,Yes
6432-TWQLB,Male,Electronic check,85.4,401.1,Yes
4484-GLZOU,Female,Electronic check,105.05,5624.85,Yes
3179-GBRWV,Male,Bank transfer (automatic),64.95,1339.8,No
8645-KWHJO,Male,Electronic check,55.0,771.95,No
4130-MZLCC,Female,Bank transfer (automatic),50.55,244.75,No
0314-TKOSI,Female,Mailed check,55.15,322.9,No
8229-MYEJZ,Female,Electronic check,51.2,498.25,No
2080-SRCDE,Female,Mailed check,25.4,25.4,No
9577-WJVCQ,Female,Mailed check,54.45,3687.75,No
9512-UIBFX,Male,Mailed check,95.15,1779.95,Yes
6202-DYYFX,Female,Credit card (automatic),76.0,1783.6,No
3808-HFKDE,Female,Electronic check,44.35,927.15,No
5583-SXDAG,Male,Electronic check,70.0,70,Yes
3488-PGMQJ,Male,Electronic check,74.5,606.55,Yes
3580-REOAC,Male,Credit card (automatic),44.85,435.4,Yes
7534-BFESC,Male,Electronic check,76.1,1712.7,Yes
3727-OWVYD,Male,Mailed check,61.2,2021.2,No
2294-SALNE,Male,Mailed check,86.8,1940.8,No
4847-TAJYI,Female,Electronic check,89.35,567.8,No
1563-IWQEX,Female,Mailed check,19.7,220.35,No
8203-XJZRC,Male,Mailed check,20.25,20.25,No
6556-DBKZF,Female,Electronic check,76.05,5436.45,No
6851-WEFYX,Male,Electronic check,100.8,3437.5,No
2985-JUUBZ,Male,Electronic check,74.55,3015.75,No
6390-DSAZX,Female,Mailed check,73.6,73.6,Yes
0895-LMRSF,Male,Bank transfer (automatic),64.9,1509.8,No
8098-LLAZX,Female,Electronic check,95.45,396.1,Yes
8266-VBFQL,Male,Electronic check,90.4,356.65,No
8181-YHCMF,Female,Credit card (automatic),60.3,4109,No
2240-HSJQD,Male,Mailed check,81.85,3141.7,No
1248-DYXUB,Male,Mailed check,24.8,1229.1,No
0265-EDXBD,Male,Electronic check,74.9,2303.35,Yes
4115-BNPJY,Male,Mailed check,75.55,2054.4,No
3167-SNQPL,Male,Electronic check,101.15,3741.85,No
4091-TVOCN,Male,Credit card (automatic),78.75,3682.45,No
1098-TDVUQ,Female,Bank transfer (automatic),19.25,19.25,No
7277-OZCGZ,Female,Electronic check,89.05,1886.25,No
1557-EMYVT,Female,Credit card (automatic),115.05,4895.1,No
2799-ARNLO,Female,Electronic check,69.35,341.6,No
7563-BIUPC,Male,Electronic check,80.6,415.55,Yes
5027-YOCXN,Male,Credit card (automatic),110.05,5686.4,No
3973-SKMLN,Male,Credit card (automatic),19.9,1355.1,No
2321-OMBXY,Female,Credit card (automatic),80.3,3058.65,Yes
2840-XANRC,Male,Electronic check,93.15,2231.05,Yes
6745-JEFZB,Male,Credit card (automatic),91.5,3236.35,No
5020-ZSTTY,Female,Bank transfer (automatic),82.45,4350.1,Yes
9880-TDQAC,Female,Electronic check,60.0,4264,No
8705-WZCYL,Male,Electronic check,44.8,44.8,No
7102-JJVTX,Female,Mailed check,48.6,422.3,No
8626-PTQGE,Male,Bank transfer (automatic),60.05,4176.7,No
4983-CLMLV,Female,Credit card (automatic),102.7,5138.1,No
5701-YVSVF,Female,Electronic check,82.9,880.05,No
5804-LEPIM,Female,Electronic check,70.35,139.05,Yes
5697-GOMBF,Female,Electronic check,35.9,973.65,No
2739-CACDQ,Female,Credit card (automatic),82.65,1470.05,No
9385-EHGDO,Female,Mailed check,19.85,739.35,No
9498-FIMXL,Female,Mailed check,19.2,161.95,No
2379-GYFLQ,Male,Credit card (automatic),94.9,4422.95,No
0122-OAHPZ,Female,Electronic check,73.85,511.25,Yes
2868-SNELZ,Female,Mailed check,80.6,155.8,Yes
4322-RCYMT,Male,Bank transfer (automatic),75.8,5293.95,Yes
6680-NENYN,Female,Electronic check,104.6,4759.85,Yes
2088-IEBAU,Female,Electronic check,88.15,6148.45,No
7982-VCELR,Female,Credit card (automatic),94.8,3565.65,No
1343-EHPYB,Male,Electronic check,103.4,6603,Yes
6035-BXTTY,Female,Bank transfer (automatic),54.65,1830.1,No
6885-PKOAM,Female,Credit card (automatic),85.75,6223.8,No
7520-HQWJU,Female,Bank transfer (automatic),67.45,4508.65,No
9639-BUJXT,Male,Mailed check,20.5,1328.15,No
5924-SNGKP,Female,Credit card (automatic),20.25,865,No
0021-IKXGC,Female,Electronic check,72.1,72.1,No
2034-GDRCN,Female,Electronic check,90.4,168.2,Yes
8966-SNIZF,Female,Bank transfer (automatic),19.45,1303.5,No
6243-OZGFH,Female,Electronic check,44.95,996.85,No
4654-DLAMQ,Female,Bank transfer (automatic),97.0,6430.9,No
0513-RBGPE,Male,Credit card (automatic),62.8,2278.75,No
5160-UXJED,Male,Mailed check,44.6,681.4,No
4115-NZRKS,Female,Electronic check,89.15,574.35,No
0219-YTZUE,Male,Bank transfer (automatic),84.8,371.9,Yes
0623-IIHUG,Female,Electronic check,41.9,840.1,Yes
4572-DVCGN,Female,Bank transfer (automatic),80.25,846,Yes
3351-NGXYI,Female,Electronic check,54.1,889,No
8984-EYLLL,Male,Electronic check,105.25,6823.4,No
9057-MSWCO,Male,Credit card (automatic),30.75,805.1,Yes
9833-TGFHX,Male,Electronic check,97.1,4016.75,No
9294-TDIPC,Male,Mailed check,20.2,83.75,No
5229-DTFYB,Female,Bank transfer (automatic),98.8,3959.15,No
0104-PPXDV,Male,Credit card (automatic),50.3,2878.55,No
5176-LMJXE,Female,Mailed check,20.55,945.7,No
3583-KRKMD,Male,Bank transfer (automatic),75.9,1373.05,No
1010-DIAUQ,Male,Bank transfer (automatic),96.5,492.55,Yes
9069-LGEUL,Male,Bank transfer (automatic),59.95,1406,No
7302-ZHMHP,Female,Mailed check,19.15,19.15,No
9571-EDEBV,Male,Credit card (automatic),98.65,6962.85,No
3520-FJGCV,Male,Credit card (automatic),112.6,8126.65,No
6563-VRERX,Male,Mailed check,20.6,690.25,No
0259-GBZSH,Male,Electronic check,85.65,181.5,Yes
6122-EFVKN,Male,Mailed check,35.75,830.8,No
2805-EDJPQ,Female,Credit card (automatic),99.75,5608.4,No
6862-CQUMB,Male,Credit card (automatic),96.1,3646.8,No
7156-MXBJE,Female,Credit card (automatic),85.1,3662.25,No
6158-HDPXZ,Male,Mailed check,25.35,25.35,No
9601-BRXPO,Female,Bank transfer (automatic),104.95,2566.5,Yes
2863-IMQDR,Female,Electronic check,89.65,5308.7,No
5686-CMAWK,Male,Electronic check,86.75,1410.25,No
5651-CRHKQ,Female,Bank transfer (automatic),86.2,3339.05,No
6905-NIQIN,Male,Mailed check,50.65,50.65,Yes
8204-YJCLA,Male,Bank transfer (automatic),64.8,4732.35,No
5167-ZFFMM,Male,Credit card (automatic),90.85,90.85,Yes
6583-SZVGP,Male,Bank transfer (automatic),108.1,5067.45,No
4895-TMWIR,Male,Mailed check,19.95,214.75,Yes
0533-BNWKF,Female,Electronic check,85.45,4874.7,Yes
1708-PBBOA,Female,Electronic check,54.75,2348.45,No
8782-LKFPK,Male,Mailed check,90.4,4063,No
5522-JBWMO,Male,Electronic check,44.0,44,No
3597-MVHJT,Female,Bank transfer (automatic),95.6,2595.25,No
9774-NRNAU,Male,Bank transfer (automatic),84.8,2309.55,No
0224-RLWWD,Female,Electronic check,44.3,89.3,No
9967-ATRFS,Female,Mailed check,19.9,367.55,No
3951-NJCVI,Female,Electronic check,95.05,3944.5,No
2977-CEBSX,Female,Credit card (automatic),90.05,5965.95,No
0177-PXBAT,Male,Bank transfer (automatic),109.9,3694.7,No
6599-CEBNN,Female,Credit card (automatic),73.95,2524.45,Yes
2519-ERQOJ,Male,Electronic check,54.6,1803.7,No
5876-QMYLD,Female,Mailed check,20.05,415.1,No
2277-AXSDC,Female,Bank transfer (automatic),19.75,624.15,No
9442-JTWDL,Female,Credit card (automatic),20.05,237.7,No
0979-PHULV,Male,Credit card (automatic),99.45,7007.6,Yes
3067-SVMTC,Female,Bank transfer (automatic),55.9,3848.8,No
5495-GPSRW,Male,Mailed check,19.7,419.4,No
7606-BPHHN,Male,Credit card (automatic),19.8,1468.75,No
4742-DRORA,Male,Bank transfer (automatic),95.4,5812,No
0111-KLBQG,Male,Mailed check,93.95,2861.45,No
4800-VHZKI,Female,Mailed check,19.9,19.9,Yes
7989-CHGTL,Male,Mailed check,19.6,19.6,Yes
0334-GDDSO,Male,Electronic check,81.35,233.7,Yes
4163-NCJAK,Female,Bank transfer (automatic),24.45,1066.15,No
5233-AOZUF,Female,Electronic check,74.95,2149.05,No
5973-EJGDP,Male,Electronic check,87.35,4473,No
1996-DBMUS,Female,Bank transfer (automatic),70.65,3545.05,No
7916-VCCPB,Female,Bank transfer (automatic),73.25,1195.75,No
4686-GEFRM,Male,Bank transfer (automatic),98.7,6858.9,No
5249-QYHEX,Female,Mailed check,24.8,1024.7,No
0578-SKVMF,Female,Electronic check,83.3,1845.9,Yes
5564-NEMQO,Female,Bank transfer (automatic),75.3,75.3,Yes
2233-FAGXV,Female,Mailed check,24.3,132.25,No
5605-IYGFG,Female,Bank transfer (automatic),69.85,515.45,No
7663-ZTEGJ,Male,Credit card (automatic),100.55,2830.45,No
3935-TBRZZ,Male,Mailed check,25.7,1110.5,No
8111-BKVDS,Female,Bank transfer (automatic),40.7,449.3,No
2055-SIFSS,Female,Bank transfer (automatic),51.65,2838.55,No
2806-MLNTI,Male,Bank transfer (automatic),105.1,5376.4,No
8734-DKSTZ,Female,Electronic check,85.95,858.6,No
4360-PNRQB,Male,Bank transfer (automatic),75.6,1395.05,No
6152-ONASV,Female,Bank transfer (automatic),58.25,3975.7,No
9063-ZGTUY,Female,Mailed check,19.4,1182.55,Yes
7781-HVGMK,Female,Credit card (automatic),65.2,4784.45,No
2181-UAESM,Male,Electronic check,53.45,119.5,No
2957-LOLHO,Male,Bank transfer (automatic),45.4,518.9,Yes
6048-NJXHX,Male,Electronic check,19.75,899.45,No
2320-SLKMB,Female,Credit card (automatic),44.45,1183.8,No
4980-URKXC,Male,Bank transfer (automatic),20.85,720.05,No
4376-KFVRS,Male,Credit card (automatic),114.05,8468.2,No
5886-VLQVU,Male,Bank transfer (automatic),89.85,3161.2,No
3577-AMVUX,Male,Mailed check,55.05,55.05,No
0771-WLCLA,Female,Electronic check,112.95,1882.55,No
5628-RKIFK,Female,Credit card (automatic),101.55,5070.4,No
0206-TBWLC,Female,Mailed check,114.65,6049.5,No
2937-FTHUR,Female,Electronic check,64.8,1166.7,No
1910-FMXJM,Female,Electronic check,80.4,2937.65,No
7752-XUSCI,Female,Electronic check,105.9,6396.45,Yes
4110-PFEUZ,Female,Mailed check,69.55,69.55,Yes
0732-OCQOC,Female,Bank transfer (automatic),25.05,1270.25,No
5168-MSWXT,Male,Electronic check,94.75,759.55,No
1090-ESELR,Male,Bank transfer (automatic),105.5,7611.55,No
8592-PLTMQ,Female,Mailed check,24.7,1642.75,No
